x	y	class
c	c	d
		class
4.047	3.728	1
3.963	2.624	1
4.001	1.987	1
4.739	3.318	1
3.731	2.841	1
4.049	2.255	1
3.521	2.202	1
3.199	3.934	1
4.745	3.303	1
4.675	3.113	1
4.294	3.839	1
3.912	3.055	1
3.488	3.589	1
3.917	2.633	1
3.449	2.714	1
3.957	2.383	1
4.496	2.388	1
4.409	3.637	1
2.877	3.829	1
3.810	3.052	1
3.703	2.897	1
4.102	3.329	1
3.979	2.221	1
3.524	2.589	1
4.462	3.932	1
4.229	2.778	1
3.918	2.828	1
4.614	3.531	1
3.639	3.100	1
3.542	3.428	1
3.162	3.530	1
3.766	2.981	1
3.745	3.155	1
4.411	3.483	1
3.346	3.252	1
4.825	2.815	1
3.434	3.437	1
2.777	3.652	1
4.545	2.754	1
4.235	3.732	1
4.132	2.818	1
4.057	3.040	1
3.071	2.442	1
4.306	3.082	1
4.106	3.835	1
4.564	3.022	1
4.984	3.114	1
4.635	1.661	1
4.225	3.500	1
4.779	3.087	1
3.021	2.906	1
3.978	3.436	1
4.038	2.956	1
4.291	2.495	1
4.040	2.723	1
3.659	3.506	1
3.739	3.650	1
4.322	2.893	1
4.374	2.966	1
3.806	3.055	1
3.812	2.700	1
4.011	2.702	1
4.032	2.966	1
4.141	2.490	1
3.767	2.778	1
3.645	3.162	1
4.538	2.623	1
2.849	3.128	1
3.336	2.663	1
4.401	2.825	1
3.672	3.315	1
4.054	2.353	1
4.731	2.721	1
4.049	3.174	1
4.039	3.309	1
3.752	2.866	1
4.347	3.030	1
4.554	3.455	1
4.524	3.197	1
3.818	2.181	1
3.902	3.923	1
4.894	2.821	1
4.392	2.776	1
3.293	3.506	1
2.818	3.306	1
3.363	1.920	1
4.477	3.650	1
3.547	3.647	1
4.310	3.401	1
4.796	1.985	1
3.209	2.594	1
3.863	2.743	1
3.860	2.937	1
3.701	3.251	1
4.709	3.729	1
4.297	3.063	1
4.290	3.816	1
3.594	2.948	1
4.018	2.482	1
3.635	2.208	1
2.440	2.415	2
3.095	2.687	2
2.224	2.468	2
3.167	3.241	2
2.704	2.920	2
2.703	2.561	2
3.453	4.076	2
3.164	2.929	2
2.927	3.237	2
2.974	3.068	2
2.575	3.822	2
2.899	3.728	2
2.507	2.540	2
3.569	2.348	2
3.081	3.494	2
3.210	2.999	2
2.832	2.326	2
3.296	2.926	2
3.221	2.919	2
2.075	3.068	2
2.489	3.365	2
3.486	3.238	2
3.267	3.097	2
2.958	2.520	2
4.457	4.117	2
2.840	2.748	2
1.951	1.837	2
3.141	2.674	2
1.991	3.160	2
2.529	3.567	2
2.995	2.832	2
2.335	3.730	2
3.393	3.551	2
2.585	2.388	2
3.315	3.752	2
4.104	3.019	2
3.241	2.544	2
3.197	2.698	2
2.895	2.661	2
2.704	2.526	2
3.216	2.898	2
3.140	3.337	2
3.142	2.861	2
3.274	2.032	2
3.571	3.229	2
3.281	2.550	2
3.174	3.616	2
3.170	2.308	2
2.985	3.067	2
2.380	2.470	2
3.067	2.361	2
3.684	2.811	2
3.482	2.463	2
2.751	3.084	2
3.009	3.327	2
2.233	3.174	2
4.345	2.362	2
2.868	3.005	2
3.518	3.947	2
2.825	3.044	2
3.099	2.747	2
2.944	3.032	2
2.608	2.354	2
3.653	3.970	2
3.825	2.988	2
2.999	3.899	2
3.191	3.270	2
2.683	3.238	2
3.067	3.061	2
3.644	3.258	2
2.140	2.361	2
2.529	3.605	2
3.357	3.471	2
2.390	2.985	2
2.837	3.310	2
3.102	3.437	2
2.614	2.666	2
3.562	2.380	2
3.506	3.461	2
3.142	2.420	2
2.762	1.882	2
3.831	3.415	2
2.800	3.242	2
3.001	3.134	2
2.075	2.559	2
3.862	3.266	2
2.527	3.417	2
3.153	2.595	2
3.160	3.578	2
2.205	2.754	2
2.902	3.723	2
2.621	3.519	2
3.674	3.216	2
3.351	3.548	2
2.260	2.954	2
2.164	3.430	2
2.722	3.131	2
2.856	2.207	2
3.310	3.684	2
4.097	4.017	2

